District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dong Da,21.0146852,105.8235426,Văn Miếu Quốc Tử Giám (Temple of Literature) (Văn Miếu Quốc Tử Giám),21.02870741,105.8360046,Confucian Temple
Dong Da,21.0146852,105.8235426,Hotel La Siesta Trendy,21.03224444,105.8457272,Hotel
Dong Da,21.0146852,105.8235426,Apricot Boutique Hotel,21.028105,105.85093,Hotel
Dong Da,21.0146852,105.8235426,The Railway Cafe,21.02941903,105.8431118,Café
Dong Da,21.0146852,105.8235426,Bánh Cuốn Thanh Trì Bà Hoành,21.01342011,105.8497082,Vietnamese Restaurant
Dong Da,21.0146852,105.8235426,Maison Marou Hanoi,21.02191169,105.8498236,Chocolate Store
Dong Da,21.0146852,105.8235426,Pizza 4P,21.02514062,105.854438,Italian Restaurant
Dong Da,21.0146852,105.8235426,Sofitel Legend Metropole Hanoi,21.0259859,105.8556869,Hotel
Dong Da,21.0146852,105.8235426,Pizza 4P's,21.02974552,105.8489557,Pizzeria
Dong Da,21.0146852,105.8235426,Lotte Hotel Hanoi,21.03224132,105.8128173,Hotel
Dong Da,21.0146852,105.8235426,Dream Beans Coffee,21.029088,105.848596,Coffee Shop
Dong Da,21.0146852,105.8235426,Hong Hoai Restaurant,21.033757,105.847427,Asian Restaurant
Dong Da,21.0146852,105.8235426,La Siesta Hotel,21.03427457,105.853351,Hotel
Dong Da,21.0146852,105.8235426,Chả Cá Thăng Long,21.033208,105.846044,Vietnamese Restaurant
Dong Da,21.0146852,105.8235426,Noble Moment CF Bingsu A51 Hoàng Ngân,21.00978023,105.8029506,Korean Restaurant
Dong Da,21.0146852,105.8235426,Phở Gia Truyền Bát Đàn,21.0337111,105.8464615,Noodle Restaurant
Dong Da,21.0146852,105.8235426,ssam daak,21.01000075,105.8044589,Asian Restaurant
Dong Da,21.0146852,105.8235426,Bánh Mì 25,21.03616703,105.8486871,Sandwich Spot
Dong Da,21.0146852,105.8235426,Standing Bar,21.04696431,105.8402007,Beer Bar
Dong Da,21.0146852,105.8235426,Duong's 2 Restaurant & Cooking Class,21.03410845,105.8534968,Vietnamese Restaurant
Dong Da,21.0146852,105.8235426,Apron Up Restaurant,21.03402339,105.8473036,Vietnamese Restaurant
Dong Da,21.0146852,105.8235426,Cộng Càphê,21.02892649,105.8494596,Coffee Shop
Dong Da,21.0146852,105.8235426,Orchid Cooking Class & Restaurant,21.03387409,105.8532701,Culinary School
Dong Da,21.0146852,105.8235426,Orchids Spa,21.02943437,105.8504335,Spa
Dong Da,21.0146852,105.8235426,Công Viên Cầu Giấy (Yên Hoà),21.02933885,105.7899118,Park
Dong Da,21.0146852,105.8235426,Cộng Càphê,21.03516553,105.853395,Coffee Shop
Dong Da,21.0146852,105.8235426,Bún Chả Hàng Quạt,21.03252245,105.8488068,Noodle Restaurant
Dong Da,21.0146852,105.8235426,Phở 10 Lý Quốc Sư,21.030473,105.848801,Noodle Restaurant
Dong Da,21.0146852,105.8235426,Sky Walk Lotte Centre,21.03213124,105.8124281,Scenic Lookout
Dong Da,21.0146852,105.8235426,JW Marriott Hanoi,21.0078042,105.7826291,Hotel
Dong Da,21.0146852,105.8235426,Starbucks Reserve Nhà Thờ,21.02916166,105.8502215,Coffee Shop
Dong Da,21.0146852,105.8235426,Tranquil Books & Coffee,21.03249147,105.8456909,Coffee Shop
Dong Da,21.0146852,105.8235426,Thịt Xiên Rau Câu Phương Mai,21.00296509,105.8350584,BBQ Joint
Dong Da,21.0146852,105.8235426,The Lapis Hotel,21.01976967,105.8559334,Hotel
Dong Da,21.0146852,105.8235426,Hotel de L'Opera,21.02457239,105.8557538,Hotel
Dong Da,21.0146852,105.8235426,InterContinental Hanoi Landmark 72,21.01683586,105.7842974,Hotel
Dong Da,21.0146852,105.8235426,Meliã,21.024107,105.84907,Hotel
Dong Da,21.0146852,105.8235426,The ann hotel,21.01584318,105.8578246,Hotel
Dong Da,21.0146852,105.8235426,Cafe Giảng,21.03353678,105.8546951,Coffee Shop
Dong Da,21.0146852,105.8235426,Bún Chả Nem Rán 41 Cửa Đông,21.03462917,105.8458793,Noodle Restaurant
Dong Da,21.0146852,105.8235426,BHD Star Cineplex Vincom Phạm Ngọc Thạch,21.00654079,105.8319923,Movie Theater
Dong Da,21.0146852,105.8235426,L'Espace - Institut Français de Hanoï (Trung Tâm Văn Hóa Pháp tại Hà Nội),21.02466826,105.8558318,Cultural Center
